user_id,course_id,course_name,instructor,course_duration_hours,certification_offered,difficulty_level,rating,enrollment_numbers,course_price,feedback_score,study_material_available,time_spent_hours,previous_courses_taken,difficulty_level_enc,cert_offered_enc
15796,9366,Python for Beginners,Emma Harris,0.3589473684210526,Yes,Beginner,5.0,21600,0.6198741456909485,0.797,Yes,17.6,4,1,1
861,1928,Cybersecurity for Professionals,Alexander Young,0.3294736842105263,Yes,Beginner,4.3,15379,0.04371561926987831,0.77,Yes,28.97,9,1,1
38159,9541,DevOps and Continuous Deployment,Dr. Mia Walker,0.08842105263157896,Yes,Beginner,3.9,6431,0.7517919653275545,0.772,Yes,52.44,4,1,1
44733,3708,Project Management Fundamentals,Benjamin Lewis,0.5610526315789472,Yes,Beginner,3.1,48245,0.6725912652108684,0.969,No,22.29,6,1,1
11285,3361,Ethical Hacking Masterclass,Daniel White,0.27157894736842103,Yes,Beginner,2.8,34556,0.7522087014502417,0.555,Yes,22.01,5,1,1
6266,8076,Ethical Hacking Masterclass,Dr. John Smith,0.7547368421052632,Yes,Advanced,3.6,36249,0.4811843640606767,0.509,Yes,5.73,6,0,1
16851,7887,Networking and System Administration,Dr. Robert Davis,0.42,Yes,Beginner,4.9,41050,0.7695240873478912,0.893,Yes,15.66,3,1,1
37195,2876,Ethical Hacking Masterclass,Liam Adams,0.9821052631578948,No,Beginner,4.1,33808,0.23220536756126015,0.635,No,17.25,7,1,0
21963,1578,Personal Finance and Wealth Building,Benjamin Lewis,0.668421052631579,Yes,Beginner,4.7,11502,0.20090848474745793,0.811,Yes,26.24,4,1,1
47192,4298,Blockchain and Decentralized Applications,Benjamin Lewis,0.428421052631579,Yes,Intermediate,4.4,25697,0.18823970661776962,0.527,Yes,23.45,7,2,1
44132,6716,Graphic Design with Canva,Alexander Young,0.6736842105263159,Yes,Beginner,4.5,3341,0.7543340556759459,1.0,Yes,25.27,4,1,1
16024,3434,Fitness and Nutrition Coaching,Liam Adams,1.0,Yes,Intermediate,4.2,3532,0.8547674612435405,0.78,Yes,28.73,8,2,1
41091,2425,Public Speaking Mastery,Benjamin Lewis,0.7768421052631578,No,Intermediate,4.1,30597,0.42915485914319046,0.796,Yes,11.27,6,2,0
1686,6209,Blockchain and Decentralized Applications,Prof. Emily Johnson,0.9189473684210525,Yes,Intermediate,3.1,39258,0.20213785630938486,0.881,Yes,12.53,5,2,1
770,534,Photography and Video Editing,Daniel White,0.7263157894736842,Yes,Advanced,4.1,40437,0.7682322053675612,0.62,Yes,14.13,3,0,1
2434,7616,DevOps and Continuous Deployment,Isabella Scott,0.5389473684210526,Yes,Beginner,2.7,16572,0.1682363727287881,0.722,Yes,34.34,5,1,1
5312,3455,Python for Beginners,Charlotte King,0.06421052631578947,Yes,Beginner,4.6,43655,0.8459534922487081,0.966,Yes,22.8,5,1,1
37820,5144,Advanced Machine Learning,Daniel White,0.828421052631579,No,Intermediate,4.0,30473,0.4847891315219202,0.668,Yes,23.46,11,2,0
39189,3873,Game Development with Unity,Dr. Robert Davis,0.8147368421052632,Yes,Intermediate,5.0,36424,0.8804384064010669,0.636,Yes,8.89,1,2,1
17569,6917,Blockchain and Decentralized Applications,Isabella Scott,0.8073684210526315,No,Advanced,3.7,21066,0.062260376729454905,0.619,Yes,37.5,4,0,0
19770,1506,Photography and Video Editing,Dr. John Smith,0.5452631578947369,Yes,Advanced,2.5,33298,0.2692323720620103,0.648,Yes,22.51,9,0,1
28694,9534,Cloud Computing Essentials,Sarah Lee,0.8642105263157893,No,Intermediate,3.7,6067,0.16573595599266544,0.739,Yes,33.88,5,2,0
6397,1759,Fitness and Nutrition Coaching,Prof. Emily Johnson,0.8789473684210527,No,Beginner,3.6,44312,0.3304509084847474,0.598,No,14.45,1,1,0
27481,1945,Mobile App Development with Swift,Sarah Lee,0.5442105263157895,Yes,Intermediate,3.3,13140,0.16688198033005497,0.794,No,14.08,4,2,1
41435,5570,DevOps and Continuous Deployment,Prof. Emily Johnson,0.9273684210526314,Yes,Advanced,4.9,9425,0.6754042340390064,0.679,No,10.02,3,0,1
25659,1556,Cybersecurity for Professionals,Charlotte King,0.4052631578947368,No,Intermediate,3.3,30265,0.6621520253375562,0.967,No,17.0,5,2,0
18943,6776,Mobile App Development with Swift,Sophia Anderson,0.34105263157894733,Yes,Intermediate,3.0,696,0.9845599266544424,0.758,Yes,53.08,8,2,1
18432,1603,Networking and System Administration,James Clark,0.49894736842105264,Yes,Beginner,4.4,46084,0.5813468911485247,0.709,Yes,43.23,2,1,1
2748,9914,Mobile App Development with Swift,Ethan Hall,0.31157894736842107,Yes,Beginner,4.4,2348,0.39737872978829797,0.903,Yes,17.76,7,1,1
190,2554,Project Management Fundamentals,Charlotte King,0.8736842105263158,Yes,Intermediate,4.4,45752,0.45543007167861305,0.601,Yes,21.71,4,2,1
19119,4521,Data Visualization with Tableau,Sophia Anderson,0.14421052631578946,No,Intermediate,5.0,8045,0.44790798466411064,0.491,Yes,30.32,5,2,0
35774,8768,Advanced Machine Learning,Daniel White,0.4073684210526316,Yes,Beginner,4.7,35165,0.9765585930988497,0.837,No,34.52,6,1,1
1900,870,Fitness and Nutrition Coaching,Olivia Taylor,0.31157894736842107,No,Beginner,4.8,42144,0.9082347057842973,0.669,No,1.0,3,1,0
1268,1326,DevOps and Continuous Deployment,Liam Adams,0.8589473684210525,No,Beginner,3.8,22524,0.6890731788631438,0.705,Yes,2.14,10,1,0
31552,6588,Public Speaking Mastery,Benjamin Lewis,0.28210526315789475,No,Intermediate,4.4,8622,0.006271878646441069,0.82,No,7.28,11,2,0
11395,2792,Public Speaking Mastery,Dr. Mia Walker,0.1242105263157895,Yes,Beginner,4.5,35263,0.9544090681780296,0.8,Yes,30.41,6,1,1
3557,9402,Photography and Video Editing,Michael Brown,0.9989473684210528,Yes,Beginner,5.0,47013,0.8128646441073512,0.862,Yes,1.0,4,1,1
3891,4248,Personal Finance and Wealth Building,James Clark,0.06210526315789475,Yes,Beginner,3.3,11424,0.9093807301216869,0.976,Yes,16.77,2,1,1
41607,6051,Graphic Design with Canva,Isabella Scott,0.8526315789473684,Yes,Beginner,3.9,17671,0.37583347224537417,0.626,Yes,28.03,8,1,1
30741,3607,Mobile App Development with Swift,William Thomas,0.33789473684210525,Yes,Intermediate,1.5,11760,0.30319636606101014,0.739,Yes,34.79,3,2,1
14503,3964,Personal Finance and Wealth Building,Sarah Lee,0.6778947368421053,Yes,Intermediate,4.9,18205,0.7345599266544424,0.968,Yes,23.64,2,2,1
21778,5334,DevOps and Continuous Deployment,William Thomas,0.12526315789473683,Yes,Beginner,4.4,19436,0.9981871978663109,0.677,Yes,6.9,4,1,1
10628,3728,Ethical Hacking Masterclass,Olivia Taylor,0.28631578947368425,Yes,Advanced,4.0,20222,0.18055092515419235,0.863,Yes,37.88,3,0,1
8793,8134,Graphic Design with Canva,Jessica Martinez,0.06315789473684211,No,Advanced,3.9,46920,0.5840140023337224,0.678,Yes,23.12,3,0,0
43324,5607,Networking and System Administration,Emma Harris,0.015789473684210534,Yes,Beginner,3.9,3834,0.04882063677279545,0.616,No,39.78,4,1,1
43022,7866,Data Visualization with Tableau,Dr. John Smith,0.7989473684210526,Yes,Intermediate,2.7,47918,0.5930988498083013,0.37,Yes,1.68,6,2,1
8434,3839,Stock Market and Trading Strategies,Emma Harris,0.5094736842105263,Yes,Beginner,4.9,28912,0.3293257209534922,0.541,Yes,41.79,5,1,1
